Sla_id	Sla_name	TSD_Code
41400	Coonalpyn Downs (DC)	405
40980	Carrieton (DC)	406
41330	Coober Pedy (DC)	406
41480	Crystal Brook-Redhill (DC)	406
42380	Hallett (DC)	406
42520	Hawker (DC)	406
42740	Jamestown (DC)	406
42940	Kanyaka-Quorn (DC)	406
44830	Mount Remarkable (DC)	406
45390	Orroroo (DC)	406
45740	Peterborough (M)	406
45810	Peterborough (DC)	406
45950	Pirie (DC)	406
46090	Port Augusta (C)	406
46440	Port Pirie (C)	406
46950	Rocky River (DC)	406
46970	Roxby Downs (M)	406
48540	Whyalla (C)	406
49389	Unincorp. Whyalla	406
49459	Unincorp. Pirie	406
49529	Unincorp. Flinders Ranges	406
49589	Unincorp. Far North	406
43010	Kapunda (DC)	407
43920	Mallala (DC)	407
43640	Light (DC)	407
40140	Angaston (DC)	407
47560	Tanunda (DC)	407
40280	Barossa (DC)	407
44760	Mount Pleasant (DC)	407
42310	Gumeracha (DC)	407
45320	Onkaparinga (DC)	407
44550	Mount Barker (DC)	407
47420	Strathalbyn (DC)	407
48750	Yankalilla (DC)	407
46230	Port Elliot & Goolwa (DC)	407
48050	Victor Harbor (DC)	407
43290	Kingscote (DC)	407
41540	Dudley (DC)	407
47630	Tatiara (DC)	408
43360	Lacepede (DC)	408
45180	Naracoorte (DC)	408
43850	Lucindale (DC)	408
45110	Naracoorte (M)	408
46860	Robe (DC)	408
45670	Penola (DC)	408
40350	Beachport (DC)	408
44200	Millicent (DC)	408
44690	Mount Gambier (DC)	408
46370	Port MacDonnell (DC)	408
44620	Mount Gambier (C)	408
40510	Blyth-Snowtown (DC)	409
40770	Burra Burra (DC)	409
40840	Bute (DC)	409
41040	Central Yorke Peninsula (DC)	409
41120	Clare (DC)	409
41890	Eudunda (DC)	409
44270	Minlaton (DC)	409
45280	Northern Yorke Peninsula (DC)	409
46160	Port Broughton (DC)	409
46790	Riverton (DC)	409
46930	Robertstown (DC)	409
47000	Saddleworth & Auburn (DC)	409
47280	Spalding (DC)	409
48190	Wakefield Plains (DC)	409
48330	Wallaroo (M)	409
48400	Warooka (DC)	409
48820	Yorketown (DC)	409
51750	Claremont (T)	501
52170	Cottesloe (T)	501
53150	East Fremantle (T)	501
53431	Fremantle (C)- Inner	501
53432	Fremantle (C)- Remainder	501
